Gene names	Gly N terminus_	Post-Myr_	Fatty acid metabolism_	Co-myristoylated_
LTBP1	+			
LTB	+			
LST1	+			
LSM4	+			
LSG1	+			
LRWD1	+			
LRTOMT	+			
LRRTM4	+			
LRRTM3	+			
LRRTM2	+			
LRRFIP2	+			
LRRC75B	+			
LRRC75A	+			
LRRC74A	+			
LRRC7	+			
LRRC6	+			
LRRC57	+			+
LRRC55	+			
LRRC34	+			
LRRC30	+			
LRRC3	+			
LRRC28	+			
LRRC25	+			
LRRC2	+			
LRRC10B	+			
LRRC10	+			
LRP8	+			
LRP6	+			
LRP1	+			
LPIN1	+		+	
LPAR4	+			
LPA	+			
LOXL3	+			
LOXHD1	+			
LONRF3	+			
LONP1	+			
LOH12CR1	+			+
LOC81691	+			
LOC102723903	+			
LNX2	+			
LNP	+			+
LMNA	+			
LMLN	+			
LMCD1	+			
LIPT2	+		+	
LIPA	+		+	
LINC01560	+			
LINC01558	+			
LINC01547	+			
LINC01546	+			
LINC01465	+			
LINC00523	+			
LINC00483	+			
LINC00337	+			
LINC00208	+			
LIN52	+			
LIN28A	+			
LIMS2	+			
LIMK2	+			
LIMK1	+			
LIME1	+			
LGR6	+			
LGI4	+			
LENG9	+			
LDLR	+			
LDHA	+			
LCN6	+			
LCMT2	+			
LCK	+			+
LCAT	+			
LCA5	+			
LBX2	+			
LBP	+			
LARP7	+			
LARP1	+			
LANCL2	+			+
LAMTOR4	+			
LAMTOR1	+			+
LAMB1	+			
LAMA3	+			
L1RE1	+			
KXD1	+			
KRTAP5-9	+			
KRTAP5-8	+			
KRTAP5-7	+			
KRTAP5-6	+			
KRTAP5-5	+			
KRTAP5-4	+			
KRTAP5-3	+			
KRTAP5-2	+			
KRTAP5-11	+			
KRTAP5-10	+			
KRTAP5-1	+			
KRTAP17-1	+			
KRT8	+			
KRIT1	+			
KREMEN2	+			
KMT2E	+			
KMT2D	+			
KMO	+			
KLRK1	+			
KLRC4-KLRK1	+			
KLK8	+			
KLK13	+			
KLK12	+			
KLHL6	+			
KLHL3	+			
KLHL22	+			
KLHL13	+			
KLHL12	+			
KLHDC8A	+			
KLHDC4	+			
KLHDC10	+			
KIRREL	+			
KIN	+			
KIFAP3	+			
KIF9	+			
KIF7	+			
KIF6	+			
KIF2A	+			
KIF25-AS1	+			
KIF1A	+			
KIF13B	+			
KIAA1715	+			+
KIAA1586	+			
KIAA1522	+			+
KIAA1211	+			
KIAA1045	+			+
KIAA1033	+			
KIAA0930	+			
KIAA0922	+			
KIAA0753	+			
KIAA0226	+			
KIAA0195	+			
KIAA0125	+			
KEL	+			
KDM6A	+			
KDM5B	+			
KDM4B	+			
KDM3B	+			
KCTD17	+			
KCTD10	+			
KCNQ3	+			
KCNQ1DN	+			
KCNQ1	+			
KCNN4	+			
KCNK7	+			
KCNJ2	+			+
KCNJ14	+			
KCNIP3	+			
KCNIP1	+			
KCND1	+			
KCNC2	+			
KCNC1	+			
KBTBD4	+			
KAT5	+			
KAT2A	+			
KANSL1L	+			
JAK2	+			
IZUMO3	+			
IZUMO2	+			
IZUMO1	+			
ITSN1	+			
ITM2C	+			
ITM2B	+			
ITGB6	+			
ITGA9	+			
ITGA6	+			
ITGA5	+			
ITGA3	+			
ITGA2	+			
ISY1	+			
ISL1	+			
ISG15	+			
IRF9	+			
IRF8	+			
IRF3	+			
IRAK1	+			
IQGAP2	+			
IQCJ-SCHIP1	+			
IQCF5	+			
IQCF3	+			
INPP4B	+			
INCENP	+			
IMPAD1	+			
IMPACT	+			
IMPA1	+			
IMMP1L	+			
ILF3	+	+		
IL9R	+			
IL6R	+			
IL5	+			
IL4R	+			
IL4	+			
IL2RG	+			
IL27	+			
IL1RL1	+			
IL17RE	+			
IL17RA	+			
IKZF5	+			
IKZF3	+			
IK	+			
IGSF9B	+			
IGSF8	+			
IGSF6	+			
IGSF5	+			
IGSF10	+			
IGLJ6	+			
IGHV5-51	+			
IGHV1OR15-9	+			
IGFN1	+			
IGFLR1	+			
IGF2R	+			
IGF2	+			
IGF1	+			
IGDCC4	+			
IFT122	+			
IFRD2	+			
IFITM2	+			
IFI27L2	+			
IFI27L1	+			
IFI16	+			
IFFO1	+			
IDUA	+			
IDNK	+			
IDH3A	+			
ICAM4	+			
ICAM3	+			
IARS	+			
IAPP	+			
HYPK	+			
HYI	+			
HUG1	+			
hucep-13	+			
HSPG2	+			
HSPBP1	+			
HSPB7	+			
HSP90AA5P	+			
HSF2BP	+			
HSD3B2	+			
HSD17B4	+		+	
HSD17B3	+			
HSD17B2	+			
HS3ST3B1	+			
HS2ST1	+			
HS1	+			
HRSP12	+			
HRC	+			
HRASLS5	+			
HPD	+			
HPCAL4	+			+
HPCAL1	+			+
HPCA	+			+
HOXC12	+			
HOOK3	+			
HOMER2	+			
HOMER1	+			
HNRNPUL1	+			
HNRNPU	+			
HNRNPM	+			
HNRNPLL	+			
HNRNPL	+			
HNRNPH1	+			
HMX2	+			
HMHA1	+			
HMGCLL1	+			+
HMGB4	+			
HMGB2	+			
HMGB1P1	+			
HMGB1	+			
HLA-DOB	+			
HLA-DMA	+			
HKR1	+			
HK1	+			
HIVEP1	+			
HID1	+			+
HIC2	+			
HIBCH	+		+	
HHATL	+			
HGS	+			
HGH1	+			
HGFAC	+			
HFE2	+			
HFE	+			
HEXDC	+			
HES2	+			
HERVK_113	+			+
HERPUD1	+			
HERC4	+			
HERC1	+			
HEPN1	+			
HEPACAM2	+			
HECTD4	+			
HEBP2	+			
HEBP1	+			
HEATR5A	+			
HEATR3	+			
HDLBP	+			
HDGFRP3	+			
HDDC3	+			
HDAC11	+			
HDAC10	+			
HCK	+			+
HCCS	+			+
HBG2	+			
HBG1	+			
HAUS7	+			
HAUS6	+			
HAPLN3	+			
HAGHL	+			
HADH	+		+	
HACE1	+			
HACD4	+		+	
HACD1	+		+	
H1FX-AS1	+			
GUCA2B	+			
GUCA1C	+			+
GUCA1B	+			+
GUCA1A	+			+
GTPBP2	+			
GTF3C1	+			
GTF2A1L	+			
GSTT2B	+			
GSTT2	+			
GSTT1	+			
GSTM1	+			
GSTK1	+			
GSK3A	+			
GSG1L	+			
GSE1	+			
GSDMD	+			
GSAP	+			
GRM7	+			
GRM4	+			
GRM2	+			
GRINA	+			
GRIN2C	+			
GRIN2A	+			
GRIK2	+			
GRIK1	+			
GRID2IP	+			
GRID2	+			
GRID1	+			
GREB1L	+			
GREB1	+			
GRB7	+			
GRB14	+			
GRAMD2	+			
GPX4	+		+	
GPT2	+			
GPRIN3	+			
GPRC5C	+			
GPR87	+			
GPR78	+			
GPR68	+			
GPR50	+			
GPR4	+			
GPR180	+			
GPR179	+			
GPR176	+			
GPR161	+			
GPR158	+			
GPR148	+			
GPR124	+			
GPR108	+			
GPM6B	+			
GPM6A	+			
GPATCH8	+			
GPATCH2L	+			
GPAA1	+			
GP1BB	+			
GOSR2	+			
GOSR1	+			
GORASP2	+			+
GORASP1	+			+
GOLIM4	+			+
GOLGA8M	+			
GNS	+			
GNPDA2	+			
GNL1	+			
GNB3	+			
GNB2L1	+			
GNAZ	+			+
GNAT3	+			+
GNAT2	+			+
GNAT1	+			+
GNAS	+			
GNAQ	+			
GNAO1	+			+
GNAL	+			
GNAI3	+			+
GNAI2	+			+
GNAI1	+			+
GMPR2	+			
GMCL1P1	+			
GMCL1	+			
GLYR1	+			
GLTPD2	+			
GLT8D2	+			
GLS	+			
GLRX5	+			
GLIPR2	+			+
GLB1	+			
GJD3	+			
GJD2	+			
GJA9	+			
GJA8	+			
GJA5	+			
GJA4	+			
GJA3	+			
GJA10	+			
GJA1	+			
GIMAP5	+			
GIMAP1-GIMAP5	+			
GIMAP1	+			
GGT7	+		+	
GGN	+			
GFOD1	+			
GEN1	+			
GEMIN5	+			
GDA	+			
GCSAML	+			
GCSAM	+			
GCLM	+			
GCLC	+			
GCK	+			
GCDH	+		+	
GCAT	+			
GBP4	+			
GBA2	+			
GAPDH	+			
GALNT11	+			
GALC	+			
GAL3ST4	+			
GABRQ	+			
GABRG1	+			
GABBR1	+			
GABARAPL1	+			
GABARAP	+			
GAB1	+			
GAA	+			
G6PD	+			
G3BP2	+			
G10	+			
FYN	+			+
FXYD3	+			
FXR2	+			
FUZ	+			
FUT10	+			
FUOM	+			
FTSJ3	+			
FTSJ1	+			
FSTL3	+			
FRYL	+			
FRS3	+			+
FRS2	+			+
FRMPD2	+			
FRG2C	+			
FRG2B	+			
FRG2	+			
FRAS1	+			
FP248	+			
FOXRED2	+			
FOXR1	+			
FOXN3	+			
FOXN2	+			
FOXJ3	+			
FOXH1	+			
FOLH1B	+			
FOLH1	+			
FNDC3A	+			
FNBP4	+			
FN3KRP	+			
FMO3	+			
FMNL3	+			+
FMNL2	+			+
FMNL1	+			+
FMN2	+			
FLYWCH1	+			
FLRT2	+			
FLOT2	+			+
FLOT1	+			
FLAD1	+			
FKBP8	+			
FKBP7	+			
FKBP6	+			
FKBP1C	+			
FKBP1B	+			
FKBP1A	+			
FKBP12-Exip2	+			
FKBP12-Exin	+			
FKBP10	+			
FJX1	+			
FIG4	+			
FIBCD1	+			
FGR	+			+
FGGY	+			
FGFR3	+			
FGF8	+			
FGF3	+			
FGF2	+			
FGF17	+			
FGD5	+			
FGD4	+	+		
FGD2	+			
FETUB	+			
FES	+			
FER	+			
FEN1	+			
FCGRT	+			
FCGR3B	+			
FCGR3A	+			
FCGR2C	+			
FCGR2B	+			
FCGR1B	+			
FCGBP	+			
FCF1	+			
FBXO8	+			
FBXO40	+			
FBXO38	+			
FBXO27	+			
FBXO24	+			
FBXO22	+			
FBXO17	+			
FBXO15	+			
FBXL7	+			
FBXL5	+			
FBXL19	+			
FBXL17	+			
FBN2	+			
FBLN7	+			
FBL	+			
FAXC	+			
FAT2	+			
FAT1	+			
FASTKD1	+			
FARP2	+			
FARP1	+			
FANCM	+			
FAM98C	+			
FAM84B	+			
FAM84A	+			
FAM83G	+			
FAM78B	+			
FAM71E1	+			
FAM58A	+			
FAM49B	+			+
FAM49A	+			
FAM47DP	+			
FAM47C	+			
FAM47B	+			
FAM47A	+			
FAM27E3	+			
FAM27E2	+			
FAM27E1	+			
FAM231D	+			
FAM231B	+			
FAM221B	+			
FAM217A	+			
FAM216B	+			
FAM214B	+			
FAM213A	+			
FAM207A	+			
FAM201A	+			
FAM179A	+			
FAM167A-AS1	+			
FAM162A	+			
FAM157C	+			
FAM157B	+			
FAM157A	+			
FAM154B	+			
FAM153C	+			
FAM153B	+			
FAM153A	+			
FAM13C	+			
FAM13A	+			
FAM133B	+			
FAM133A	+			
FAM131C	+			
FAM131B	+			+
FAM129C	+			
FAM129B	+			+
FAM129A	+			+
FAM127A	+			
FAM120C	+			
FAM120B	+			
FAM120AOS	+			
FAM120A	+			
FAM107A	+			
FAM104B	+			
FAM104A	+			
FAHD1	+			
FAH	+			
FADS3	+		+	
FADS2	+		+	
FADS1	+		+	
FABP5P3	+			
FABP5	+			
FAAH	+		+	
F2R	+			
F2	+			
F13A1	+			
F11R	+			
F10	+			
EZH2	+			
EXTL3	+			
EXTL2	+			
EXT1	+			
EXOSC1	+			
EXOG	+			
EXOC7	+			
EXOC3L4	+			
EXO1	+			
EVL	+			
ETNPPL	+			
ETNK2	+			
ESPNL	+			
ESPN	+			
ERVS71-1	+			
ERVMER34-1	+			
ERVK-9	+			+
ERVK-8	+			+
ERVK-7	+			+
ERVK-6	+			+
ERVK-5	+			+
ERVK-24	+			+
ERVK-21	+			+
ERVK-19	+			+
ERVK-10	+			+
ERVFRD-1	+			
ERO1LB	+			
ERO1L	+			
ERICH5	+			
ERICH1-AS1	+			
ERGIC1	+			
ERCC6L2	+			
ERCC6L	+			
ERCC6	+			
ERCC5	+			
ERCC3	+			
ERCC1	+			
ERBB4	+			
ERBB3	+			
ERAP2	+			
EPS8L1	+			
EPPIN	+			
EPO	+			
EPN1	+			
EPHA6	+			
EPHA5	+			
EPB42	+			+
EPB41L4A	+			
ENTPD8	+			
ENTPD6	+			
ENTPD4	+			
ENTPD1	+			
ENTHD2	+			
ENOX2	+			
ENO4	+			
ENKUR	+			
ENKD1	+			
ENHO	+			
ENDOD1	+			
EMX1	+			
EML2	+			
EMILIN3	+			
EMID1	+			
EMC9	+			
Em:AP000351.3	+			
ELOVL4	+		+	
ELOF1	+			
ELL3	+			
ELAVL1	+			
EIF5B	+			
EIF4A1	+			
EIF3G	+			
EHMT1	+			
EHF	+			
EHBP1L1	+			
EGLN2	+			
EGFL8	+			
EFTUD2	+			
EFNB3	+			
EFHD1	+			
EFCAB6	+			
EEPD1	+			+
EEF1E1	+			
EEF1B2	+			
EEF1A2	+			
EEF1A1P5	+			
EEF1A1	+			
EDRF1	+			
EDEM1	+			
EDARADD	+			
EDA	+			
ECSCR	+			
ECM1	+			
ECI2	+		+	
EBPL	+			
EBLN2	+			
DZANK1	+			
DYRK3	+			
DYNLRB1	+			
DYNC2LI1	+			
DYNC1LI2	+			
DYM	+			+
DVL3	+			
DUSP7	+			
DUSP4	+			
DUSP28	+			
DUSP23	+			
DUSP22	+			+
DUSP2	+			
DUSP15	+			+
DUSP13	+			
DUS3L	+			
DUOX1	+			
DST	+			
DSCR9	+			
DSCR3	+			
DSCAM	+			
DRICH1	+			
DRG2	+			
DRD4	+			
DPYS	+			
DPPA5	+			
DPP9	+			
DPP7	+			
DPP3	+			
DPH7	+			
DPF3	+			
DPF1	+			
DOT1L	+			
DOK3	+			
DOK2	+			
DOCK6	+			
DOCK4	+			
DNTTIP1	+			
DNMT3A	+			
DNM3	+			
DNM2	+			
DNM1	+			
DNHD1	+			
DNASE1L2	+			
DNAL4	+			
DNAJC9	+			
DNAJC6	+			
DNAJC25	+			
DNAJC10	+			
DNAJB5	+			
DNAJB4	+			
DNAJB13	+			
DNAJB11	+			
DNAJB1	+			
DNAH3	+			
DNAH14	+			
DNAAF1	+			
DMWD	+			
DMPK	+			
DMKN	+			
DMBT1	+			
DLL1	+			
DLK2	+			
DLGAP2	+			
DLG4	+			
DLG2	+			
DLC1	+			
DKKL1	+			
DKFZp781L1143	+			
DKFZp686H16130	+			
DKFZp434L0312	+			
DIXDC1	+			+
DIRC2	+			
DIRAS3	+			
DIO2	+			
DIO1	+			
DIEXF	+			
DHX9	+			
DHX38	+			
DHX37	+			
DHX29	+			
DHRS7C	+			
DHRS3	+			
DHFR	+			
DHCR7	+			
DHCR24	+			
DGKG	+			
DGAT1	+			
DESI2	+			
DENND5B	+			
DENND5A	+			
DENND4C	+			
DENND4B	+			
DENND3	+			
DENND2A	+			
DENND1A	+			
DEGS2	+			+
DEGS1	+		+	+
DEFB127	+			
DDX60L	+			
DDX46	+	+		+
DDX4	+			
DDX39B	+			
DDX26B	+			
DDX25	+			
DDX19B	+			
DDX10	+			
DDR1	+			
DDOST	+			
DDC	+			
DDAH2	+			
DCUN1D3	+			+
DCSTAMP	+			
DCP2	+			
DCLK3	+			
DCDC2C	+			
DCC	+			
DCBLD2	+			
DCAF17	+			
DCAF16	+			
DCAF11	+			
DBNDD2	+			
DBNDD1	+			
DBI	+			
DAZL	+			
DARS	+			
DAPP1	+			
DAP3	+			
DACT2	+			
CYS1	+			+
CYP4F8	+		+	
CYP4F12	+		+	
CYP3A43	+			
CYP2E1	+		+	
CYP2D7	+			
CYP2D6	+		+	
CYP26A1	+			
CYP1B1	+		+	
CYLD	+			
CYCS	+			
CYBB	+			
CYBA	+			
CYB5RL	+			
CYB5R3	+			+
CYB5R1	+			
CYB561A3	+			
CXCL16	+			
CWC25	+			
CUZD1	+			
CUTC	+			
CTSC	+			
CTSB	+			
CTPS2	+			
CTGLF11P	+			
CTDSP2	+			
CTC1	+			
CTBP2	+			
CTBP1	+			
CSTL1	+			
CSPG5	+			
CSNK2A2	+			
CSNK1G2-AS1	+			
CSNK1E	+			
CSNK1A1	+			
CSF1R	+			
CSF1	+			
CRYGD	+			
CRYGC	+			
CRYGB	+			
CRYGA	+			
CRYAB	+			
CRY2	+			
CRY1	+			
CRLF3	+			
CRLF2	+			
CRIM1	+			
CRHR2	+			
CRHR1	+			
CREB1	+			
CRAMP1L	+			
CR2	+			
CR1L	+			
CR1	+			
CPSF7	+			
CPLX1	+			
COX17	+			
COX11	+			
CORO7	+			
CORIN	+			
COQ10B	+			
COPZ1	+			
COPS6	+			
COPRS	+			
COMT	+			
COMMD7	+			
COL6A5	+			
COL5A3	+			
COL4A5	+			
COL4A2	+			
COL4A1	+			
COL28A1	+			
COL27A1	+			
COL25A1	+			
COL23A1	+			
COL13A1	+			
COG5	+			
COG4	+			
COA6	+			
CNTNAP4	+			
CNTN2	+			
CNRIP1	+			
CNPY4	+			
CNPY2	+			
CNOT7	+			
CNOT6L	+			
CNN1	+			
CNBD1	+			
CMTR1	+			
CMIP	+			
CLVS1	+			
CLTCL1	+			
CLPP	+			
CLPB	+			
CLP1	+			
CLNS1A	+			
CLN3	+			
CLK3	+			
CLEC4D	+			
CLEC18A	+			
CLDND2	+			
CLDND1	+			
CLDN5	+			
CLDN15	+			
CLDN12	+			
CLCA4	+			
CLCA1	+			
CLASP2	+	+		
CKAP5	+			
CISH	+			
CIRH1A	+			
CIR1	+			
CIB4	+			
CIB3	+			
CIB2	+			
CIB1	+			+
CHURC1	+			
CHST5	+			
CHST13	+			
CHRNB4	+			
CHRNA3	+			
CHRNA2	+			
CHRNA10	+			
CHRDL2	+			
CHRDL1	+			
CHP2	+			+
CHP1	+			+
CHMP6	+			+
CHMP3	+			+
CHI3L2	+			
CHI3L1	+			
CHCHD6	+			+
CHCHD3	+			+
CHAT	+			
CHAC1	+			
CGB2	+			
CGB1	+			
CGB	+			
CFP	+			
CFB	+			
CFAP69	+			
CFAP221	+			
CERK	+			
CEP97	+			
CEP295	+			
CEP250	+			
CEP192	+			
CEP131	+			
CEP112	+			
CENTA2	+			
CENPN	+			
CENPM	+			
CENPB	+			
CENPA	+			
CEMP1	+			
CEMIP	+			
CELF6	+			
CELF4	+			
CELA2B	+			
CEL	+		+	
CEACAM8	+			
CEACAM7	+			
CEACAM6	+			
CEACAM5	+			
CEACAM4	+			
CEACAM3	+			
CEACAM21	+			
CEACAM20	+			
CEACAM1	+			
CDSN	+			
CDKN1B	+			
CDK5R2	+			+
CDK5R1	+			+
CDK15	+			
CDK11B	+			
CDK11A	+			
CDHR5	+			
CDH3	+			
CDH23	+			
CDH1	+			
CDCA5	+			
CDCA3	+			
CDC2L1	+			
CDC27	+			
CDC14A	+			
CDADC1	+			
CD97	+			
CD86	+			
CD82	+			
CD81	+			
CD80	+			
CD59	+			
CD53	+			
CD37	+			
CD36	+			
CD24	+			
CD200R1L	+			
CD1D	+			
CD163	+			
CD151	+			
CCT8	+			
CCSER1	+			
CCR10	+			
CCNYL2	+			
CCNYL1	+			
CCNY	+			+
CCNJL	+			
CCNF	+			
CCM2	+			
CCDC93	+			
CCDC88C	+			
CCDC88B	+			
CCDC69	+			+
CCDC67	+			
CCDC66	+			
CCDC57	+			
CCDC33	+			
CCDC159	+			
CCDC140	+			
CCDC14	+			
CCDC137	+			
CCDC130	+			
CCDC121	+			
CCDC116	+			
CCDC115	+			
CCDC101	+			
CC2D1B	+			
CBX5	+			
CBX1	+			
CBWD1	+			
CBS	+			
CBLN4	+			
CBFA2T3	+			
CBFA2T2	+			
CB4	+			
CAV2	+			
CATSRB	+			
CAST	+			
CASP1	+			
CASKIN2	+			
CASKIN1	+			
CASC1	+			
CARD8	+			
CARD16	+			
CARD14	+			
CARD10	+			
CAPS2	+			
CAPNS1	+			
CAPN6	+			
CAPN3	+			
CAPN15	+			
CANX	+			
CAND2	+			
CAMTA2	+			
CAMTA1	+			
CAMSAP2	+			
CAMP	+			
CAMK2A	+			
CAMK1G	+			
CALML6	+			
CALCB	+			
CALCA	+			
CADM4	+			
CADM3	+			
CACTIN	+			
CACNG2	+			
CACNA2D4	+			
CABP2	+			+
CABP1	+			+
CA11	+			
C9orf62	+			
C9orf57	+			
C9orf156	+			
C8orf82	+			
C8orf17	+			
C7orf77	+			
C7orf71	+			
C7orf69	+			
C6orf62	+			
C6orf136	+			
C5orf66	+			
C5AR2	+			
C5	+			
C4orf48	+			
C4orf29	+			
C4orf19	+			
C3orf62	+			
C3orf56	+			
C3orf17	+			
C3	+		+	
C2orf88	+			+
C2orf71	+			+
C2orf50	+			
C2orf44	+			
C22orf42	+			
C20orf173	+			
C20orf144	+			
C2	+			
C1QTNF9B-AS1	+			
C1QTNF6	+			
C1QTNF1	+			
C1orf229	+			
C1orf21	+			
C1orf185	+			
C1orf162	+			
C1orf123	+			
C19orf60	+			
C19orf47	+			
C19orf25	+			
C19orf24	+			
C18orf8	+			
C17orf99	+			
C17orf89	+			
C17orf82	+			
C17orf62	+			
C17orf51	+			
C16orf93	+			
C16orf92	+			
C16orf91	+			
C16orf87	+			
C16orf74	+			
C16orf62	+			
C16orf59	+			
C16orf52	+			
C15orf43	+			
C15orf39	+			
C14orf80	+			
C14orf178	+			
C14orf105	+			
C12orf75	+			
C12orf66	+			
C12orf10	+			
C11orf98	+			
C11orf96	+			
C11orf86	+			
C11orf80	+			
C11orf52	+			
C11orf31	+			
C11orf21	+			
C10orf54	+			
C10orf131	+			
C10orf128	+			
BZW1	+			
BTN3A2	+			
BTBD7	+			+
BTAF1	+			
BSPH1	+			
BSN	+			+
BSG	+			
BSDC1	+			
BSC1	+			
BRWD1	+			
BRPF1	+			
BRI3BP	+			
BRF1	+			
BRD9	+			
BRD7	+			
BRAT1	+			
BP4	+			
BORA	+			
BOLA2B	+			
BNIPL	+			
BMPR1B	+			
BMP10	+			
BLOC1S6	+			
BLK	+			+
BIVM	+			
BIRC7	+			
BIRC5	+			
BIN2	+			
BFAR	+			
BECN1	+			
BDH2	+		+	
BCO2	+			
BCLAF1	+			
BCL6B	+			
BCL2L14	+			
BCL2L12	+			
BCE1	+			
BCAS1	+			
BCAR2	+			
BCAP31	+	+		
BCAM	+			
BBS9	+			
BAZ2B	+			
BAX	+			
BASP1	+			+
BARX1	+			
BANP	+			
BAIAP2	+			
BAD	+			
BACE2	+			
BAALC	+			+
B4GALT7	+			
B4GALT4	+			
B4GALNT3	+			
B4GALNT2	+			
AXL	+			
AVPI1	+			
AURKC	+			
ATXN2	+			
ATR	+			
ATPAF1	+			
ATP8B3	+			
ATP6V1G2	+			
ATP6V1B2	+			
ATP6V0A2	+			
ATP6V0A1	+			
ATP5O	+			
ATP5G2	+			
ATP5D	+			
ATP5B	+			
ATP4A	+			
ATP2B4	+			
ATP2B3	+			
ATP2B2	+			
ATP2B1	+			
ATP2A1	+			
ATP1B3	+			
ATP1A4	+			
ATP1A3	+			
ATP1A2	+			
ATP1A1	+			
ATP13A4	+			
ATG7	+			
ATG4D	+			
ATG16L2	+			
ATF7	+			
ATF6	+			
ATCAY	+			
ATAD3A	+			
ASXL1	+			
ASXH1	+			
ASTE1	+			
ASRGL1	+			
ASPSCR1	+			
ASPRV1	+			
ASPDH	+			
ASMT	+			
ASH2L	+			
ASB2	+			
ASAP3	+			
ARV1	+			
ART4	+			
ARSG	+			
ARSD	+			
ARSB	+			
ARSA	+			
ARRDC5	+			
ARRDC4	+			
ARRDC1	+			
ARRB2	+			
ARRB1	+			
ARNTL2	+			
ARMCX6	+			
ARMCX4	+			
ARMCX3	+			
ARMCX1	+			
ARMC9	+			
ARMC4	+			
ARMC3	+			
ARMC12	+			
ARMC10	+			
ARL6	+			+
ARL5C	+			+
ARL5B	+			+
ARL5A	+			+
ARL4D	+			+
ARL4C	+			+
ARL4A	+			+
ARL3	+			+
ARL2-SNX15	+			
ARL2	+			+
ARL17B	+			+
ARL17A	+			+
ARL16	+			
ARL14	+			+
ARL11	+			+
ARL1	+			+
ARID2	+			
ARID1A	+			
ARHGEF7	+			
ARHGEF5	+			
ARHGEF33	+			
ARHGEF1	+			
ARHGAP9	+			
ARHGAP44	+			
ARHGAP42	+			
ARHGAP40	+			
ARHGAP36	+			
ARHGAP26	+			
ARHGAP22	+			
ARHGAP10	+			
ARGLU1	+			
ARFGAP3	+			
ARF6	+			+
ARF5	+			+
ARF4	+			+
ARF3	+			+
ARF1	+			+
AQP7	+			
AQP3	+			
AQP	+			
APP	+			
APOPT1	+			
APOOL	+			
APOLD1	+			
APOL4	+			
APOL3	+			
APOC3	+			
APOC2	+			
APLP1	+			
APH1A	+			
APBB2	+			
APBB1IP	+			
AP5B1	+			
AP3D1	+			
AP3B2	+			
AP1AR	+			
ANXA2	+			
ANXA13	+			+
ANTXRL	+			
ANO5	+			
ANO2	+			
ANO1	+			
ANKS6	+			
ANKS1B	+			
ANKS1A	+			
ANKRD61	+			
ANKRD6	+			
ANKRD52	+			
ANKRD36BP1	+			
ANKRD36B	+			
ANKRD29	+			
ANKRD22	+			
ANKRD10	+			
ANKLE2	+			
ANKIB1	+			+
ANKH	+			
ANKDD1A	+			
ANK3	+			
ANK2	+			
ANGPTL6	+			
AMPH	+			
AMN1	+			
AMN	+			
AMMECR1L	+			
AMICA1	+			
AMELY	+			
AMELX	+			
AMD1	+			
ALOXE3	+		+	
ALOX15	+		+	
ALOX12	+		+	
ALKBH7	+		+	
ALKBH1	+			
ALK	+			
ALG8	+			
ALG3	+			
ALG1L2	+			
ALDH7A1	+			
ALDH6A1	+			
ALDH1A2	+			
AKT2	+			
AKT1	+			
AKR1E2	+			
AKR1C1	+			
AKAP7	+			+
AKAP13	+			
AKAP12	+			+
AKAP1	+			
AK5	+			
AK3	+			
AK1	+			
AJUBA	+			
AIFM3	+			
AIFM2	+			+
AIFM1	+			
AHI1	+			
AGPAT3	+			
AGL	+			
AGBL1	+			
AGAP9	+			
AGAP8	+			
AGAP7P	+			
AGAP6	+			
AGAP5	+			
AGAP4	+			
AGAP10	+			
AGA	+			
ADSL	+			
ADRB2	+			
ADRB1	+			
ADRA2A	+			
ADPGK	+			
ADM	+			
ADH7	+		+	
ADH4	+			
ADGRL1	+			
ADGRF2	+			
ADGRE5	+			
ADGRE4P	+			
ADGRE2	+			
ADCY3	+			
ADAT1	+			
ADARB2	+			
ADAP2	+			
ADAP1	+			
ADAMTSL5	+			
ADAMTSL4	+			
ADAMTS17	+			
ADAMTS10	+			
ADAM9	+			
ADAM33	+			
ACY3	+			
ACVR2A	+			
ACTR3C	+			
ACTN4	+			
ACTN3	+			
ACTN1	+			
ACSS2	+		+	
ACSF3	+		+	
ACSF2	+		+	
ACP2	+			
ACOX2	+		+	
ACMSD	+			
ACKR1	+			
ACER2	+			
ACE	+			
ACBD4	+			
ACAT2	+			
ACAT1	+			
ACADSB	+		+	
ACAA2	+		+	
ABL2	+			+
ABL1	+			+
ABHD14B	+			
ABCG5	+			
ABCG4	+			
ABCD4	+			
ABCB9	+			
ABCB6	+			
ABCA4	+			
ABCA2	+			
ABCA13	+			
AARSD1	+			
AARD	+			
AAED1	+			
AADACL2	+			
AADAC	+			
A2M	+			
ADCY9		+		
AHNAK2		+		
AIM1		+		
ARHGAP29		+		
BID		+		
C2orf49		+		
CALD1		+		
CUL4B		+		
DIDO1		+		
DYNC1I2		+		
FASN		+	+	
FICD		+		
FUS		+		
GIT2		+		
GSN		+		
HNRNPA0		+		
HSPA4		+		
IQGAP1		+		
LRMP		+		
MCL1		+		
MCM6		+		
MED1		+		
NCL		+		
NES		+		
PAK2		+		+
PCNA		+		
PHIP		+		
PLIN3		+		
PTBP1		+		
RBM15		+		
RPA1		+		
SETD2		+		
SF3A1		+		
SF3B1		+		
SORBS2		+		
STAMBPL1		+		
TNRC6A		+		
UBE2O		+		
YTHDF2		+		
ZEB1		+		
A0A087X1B8			+	
A0A140VK27			+	
A0A140VK76			+	
A2NX49			+	
AACS			+	
AASDH			+	
AASDHPPT			+	
ABCC1			+	
ABCD1			+	
ABCD2			+	
ABCD3			+	
