Gene names	Gly N terminus_	Post-Myr_	Fatty acid metabolism_	Co-myristoylated_
TMEM161B	+			
TMEM160	+			
TMEM143	+			
TMEM131	+			
TMEM126B	+			
TMEM123	+			
TMEM117	+			
TMEM107	+			
TMEM106C	+			+
TMEM106B	+			+
TMEM106A	+			
TMEM101	+			
TMEFF1	+			
TMED5	+			
TMED3	+			
TMBIM1	+			
TMA16	+			
TM7SF3	+			
TM4SF18	+			
TLR9	+			
TLR5	+			
TLL1	+			
TLDC1	+			+
TLCD1	+			
TK2	+			
TINF2	+			
TIMP2	+			
TICAM2	+			+
TIAM2	+			+
TIAM1	+			+
THSD7A	+			
THOP1	+			
THOC7	+			
THEG	+			
THBS4	+			
THBS1	+			
THADA	+			
TGFBR3L	+			
TGFBR2	+			
TG	+			
TFIP11	+			
TFF2	+			
TEX26	+			
TEX2	+			
TEX101	+			
TESC	+			+
TES	+			
TEPP	+			
TECR	+		+	
TECPR1	+			
TEAD4	+			
TEAD3	+			
TEAD2	+			
TDG	+			
TCTN2	+			
TCRBV9S1A1T	+			
TCRBV7S3A2	+			
TCRBV7S1A1N2T	+			
TCRBV6S8A2T	+			
TCRBV6S6A2T	+			
TCRBV6S4A1	+			
TCRBV6S3A1N1T	+			
TCRBV5S3A2T	+			
TCRBV5S2	+			
TCRBV5S1A1T	+			
TCRBV3S1	+			
TCRBV21S2A2	+			
TCRBV14S1	+			
TCRBV12S3	+			
TCRBV12S2	+			
TCRBV12S1A1N2	+			
TCRB	+			
TCP11	+			
TCOF1	+			
TCIRG1	+			
TCF4	+			
TCF25	+			
TCF20	+			
TCF12	+			
TCEA3	+			
TBX21	+			
TBL2	+			
TBCEL	+			
TBCD	+			
TBC1D29	+			
TBC1D23	+			
TAZ	+			
TAS2R14	+			
TAS1R2	+			
TAPBPL	+			
TANK	+			
TANC2	+			
TAGAP	+			
TAF15	+			
TAF1	+			
TACR2	+			
TACC2	+			
TACC1	+			+
T100	+			
SYVN1	+			
SYT8	+			
SYT17	+			
SYT15	+			
SYP	+			
SYNPO2L	+			
SYNPO2	+			
SYNJ2	+			
SYNGAP1	+			
SYNE1	+			
SYBU	+			
SWI5	+			
SWAP70	+			
SVIP	+			+
SUV420H2	+			
SUSD1	+			
SURF4	+			
SUN1	+			
SUMF2	+			
SULT1E1	+			
SULF2	+			
SUCLA2	+			
STYK1	+			
STX4	+			
STX2	+			
STRN3	+			
STRA8	+			
STRA6	+			
STRA13	+			
STMND1	+			+
STKLD1	+			
STK40	+			
STK36	+			
STK35	+			
STK32B	+			
STK32A	+			+
STK16	+			+
STBD1	+			
STAU2	+			
STAG3L5P-PVRIG2P-PILRB	+			
ST7L	+			
ST6GALNAC2	+			
ST3GAL3	+			
ST14	+			
ST13	+			
SSX2IP	+			
SSSCA1	+			
SSR1	+			
SSPN	+			
SSMEM1	+			
SSH1	+			
SSBP4	+			
SSBP2	+			
SRXN1	+			
SRSF9	+			
SRRT	+			
SRRM3	+			
SRRM2	+			
SRPX	+			
SRPK2	+			
SRPK1	+			
SRM	+			
SRCIN1	+			
SRC	+			+
SQRDL	+			
SQLE	+			
SPSB4	+			
SPSB2	+			
SPSB1	+			
SPRYD4	+			
SPPL2B	+			
SPPL2A	+			
SPG7	+			
SPG21	+			
SPG11	+			
SPDEF	+			
SPATA4	+			
SPATA33	+			
SPATA32	+			
SPATA31E1	+			
SPATA2L	+			
SPATA2	+			
SPATA13	+			
SPANXB1	+			
SPAM1	+			
SPAG16	+			
SP3	+			
SP110	+			
SOX6	+			
SORCS2	+			
SORCS1	+			
SOCS7	+			
SNX29	+			
SNX27	+			
SNX11	+			
SNX1	+			
SNTN	+			
SNTG2	+			
SNTB2	+			
SNRNP27	+			
SNAPC1	+			
SNAP23	+			
SMTN	+			
SMS	+			
SMEK1	+			
SMC1A	+			
SMARCD2	+			
SMAP2	+			
SMAD5	+			
SMAD3	+			
SLX1A	+			
SLN	+			
SLMAP	+			
SLITRK5	+			
SLCO2B1	+			
SLCO2A1	+			
SLCO1C1	+			
SLCO1A2	+			
SLC9B2	+			
SLC9B1	+			
SLC9A8	+			
SLC9A3R2	+			
SLC9A3R1	+			
SLC7A9	+			
SLC7A8	+			
SLC7A1	+			
SLC6A6	+			
SLC6A2	+			
SLC6A16	+			
SLC4A3	+			
SLC4A11	+			
SLC45A4	+			
SLC45A2	+			
SLC44A4	+			
SLC44A3	+			
SLC44A2	+			
SLC44A1	+			+
SLC43A3	+			
SLC3A1	+			
SLC39A6	+			
SLC39A1	+			
SLC38A7	+			
SLC38A11	+			
SLC36A3	+			
SLC35F3	+			
SLC35E1	+			
SLC35C2	+			
SLC33A1	+			
SLC30A6	+			
SLC30A5	+			
SLC30A10	+			
SLC30A1	+			
SLC2A8	+			
SLC2A3	+			
SLC2A10	+			
SLC29A4	+			
SLC27A5	+		+	
SLC27A3	+		+	
SLC26A6	+			
SLC26A11	+			
SLC25A53	+			
SLC25A48	+			
SLC25A46	+			
SLC25A42	+			
SLC25A41	+			
SLC25A4	+			
SLC25A36	+			
SLC25A29	+			
SLC25A28	+			
SLC25A17	+		+	
SLC25A14	+			
SLC24A1	+			
SLC23A2	+			
SLC22A8	+			
SLC22A7	+			
SLC22A31	+			
SLC22A24	+			
SLC22A18AS	+			
SLC22A16	+			
SLC1A2	+			
SLC1A1	+			
SLC17A7	+			
SLC17A3	+			
SLC16A8	+			
SLC16A7	+			
SLC16A5	+			
SLC16A4	+			
SLC16A3	+			
SLC15A1	+			
SLC14A1	+			
SLC13A4	+			
SLC13A3	+			
SLC12A8	+			
SLC12A4	+			
SLAIN1	+			
SLA2	+			+
SLA	+			+
SKIL	+			
SKIDA1	+			
SKAP1	+			
SIRT5	+			
SIM2	+			
SIK3	+			
SIGMAR1	+			
SIGLEC15	+			
SIGLEC1	+			
SIGIRR	+			
SHMT2	+			
SHMT1	+			
SHKBP1	+			
SHISA9	+			
SHISA7	+			
SHISA5	+			
SHF	+			
SHCBP1L	+			
SHC1	+			
SHANK1	+			
SH3TC2	+			
SH3TC1	+			
SH3KBP1	+			
SH2B3	+			
SGSM2	+			
SGK494	+			
SGK1	+			
SGCZ	+			
SFXN3	+			
SFTA2	+			
SFRP1	+			
SEZ6L2	+			
SEZ6	+			
SETDB2	+			
SETD8	+			
SETD3	+			
SET	+			
SERPING1	+			
SERPINB11	+			
SERPINA9	+			
SERPINA11	+			
SERINC3	+			
SERINC2	+			
SERINC1	+			+
Sep-09	+			
Sep-04	+			
SEPN1	+			
SEMA4G	+			
SEMA4B	+			
SEMA3B	+			
SEMA3A	+			
SELL	+			
SEL1L2	+			
SEC61A2	+			
SEC31A	+			
SEC13	+			
SEBOX	+			
SDR39U1	+			
SDPR	+			
SDK2	+			
SDK1	+			
SDHD	+			
SCYL3	+			+
SCUBE3	+			
SCUBE2	+			
SCUBE1	+			
SCP2	+		+	
SCNN1A	+			
SCN1B	+			
SCML2	+			
SCLY	+			
SCG5	+			
SCG3	+			
SCFD1	+			
SCC1	+			
SCARF1	+			
SCARB2	+			
SCARB1	+			
SCAF11	+			
SAXO2	+			
SASH1	+			
SART1	+			
SARM1	+			
SAPCD1	+			
SAP130	+			
SAMM50	+			
SAMD5	+			
SAMD15	+			
S1PR2	+			
S1PR1	+			
S100A14	+			
S100A1	+			
S1	+			
RYR1	+			
RUNDC3B	+			
RUFY2	+			
RUFY1	+			
RTN2	+			
RTFDC1	+			
RTF1	+			
RSRC1	+			
RSPH6A	+			
RSPH14	+			
RRP12	+			
RRN3P1	+			
RRM2B	+			
RRM2	+			
RRBP1	+			
RPUSD3	+			
RPS8	+			
RPS6KA6	+			
RPS6KA4	+			
RPS29	+			
RPS23	+			
RPS19	+			
RPS17L	+			
RPS17	+			
RPS13	+			
RPN2	+			
RPLP2	+			
RPL8	+			
RPL5	+			
RPL27	+			
RPL19	+			
RPL18	+			
RPL15	+			
RPL10L	+			
RPL10	+			
RPA2	+			
RP2	+			+
ROM1	+			
ROBO4	+			
RNF8	+			
RNF41	+			
RNF217	+			
RNF215	+			
RNF19B	+			
RNF166	+			
RNF157	+			+
RNF151	+			
RNF146	+			
RNF144B	+			
RNF141	+			+
RNF128	+			
RNF125	+			+
RNF11	+			+
RNASEK	+			
RMND1	+			
RMDN2	+			
RMDN1	+			
RITA1	+			
RIPK3	+			
RIOK2	+			
RIMS2	+			
RILP	+			
RIC8B	+			
RIBC2	+			
RHOQ	+			
RHCE	+			
RHBDL3	+			
RHBDL1	+			
RHBDD2	+			
RGMB	+			
RGMA	+			
RFX2	+			
RFTN2	+			+
RFTN1	+			+
RFT1	+			
RFPL3S	+			
RFK	+			
RFC3	+			
REXO4	+			
REXO2	+			
RETSAT	+			
RETNLB	+			
REPIN1	+			
REP15	+			+
RENBP	+			
RECQL5	+			
RCVRN	+			+
RCN2	+			
RCHY1	+			
RCC1	+			
RBPJ	+			
RBMS3	+			
RBMS1	+			
RBM7	+			
RBM5	+			
RBM17	+			
RBCK1	+			
RAVER1	+			
RASSF1	+			
RASL10A	+			
RASIP1	+			
RASGRP3	+			
RASGRP2	+			
RASGRP1	+			
RARRES3	+			
RAPSN	+			+
RAPGEF5	+			
RAPGEF1	+			
RANBP9	+			
RANBP10	+			
RANBP1	+			
RALA	+			
RAF1	+			
RAD54L	+			
RAD51D	+			
RAD51B	+			
RAD23A	+			
RACGAP1	+			
RABGGTB	+			
RAB40C	+			
RAB3IP	+			
RAB3A	+			
RAB29	+			
RAB25	+			
RAB13	+			
RAB11FIP3	+			
RAB11FIP1	+			
RAB11B	+			
RAB11A	+			
R3HDM1	+			
QTRT1	+			
QSOX2	+			
QPCT	+			
PYDC1	+			
PYCRL	+			
PYCARD	+			
PXMP2	+			
PXDN	+			
PWWP2A	+			
PUS1	+			
PUM1	+			
PTX4	+			
PTTG1IP	+			
PTRH1	+			
PTPRO	+			
PTPRN2	+			
PTPRM	+			
PTPRG	+			
PTPN7	+			
PTPN20	+			
PTOV1	+			
PTK7	+			
PTK2B	+			
PTK2	+			
PTH1R	+			
PTGIR	+			
PTGFRN	+			
PTGES3L-AARSD1	+			
PTGER2	+			
PTGDS	+		+	
PTEN	+			
PTCH1	+			
PSME4	+			
PSMD4	+			
PSMD2	+			
PSMD1	+			
PSMC6	+			
PSMC3	+			
PSMC1	+			+
PSMB5	+			
PSKH2	+			
PSKH1	+			+
PSG9	+			
PSG8	+			
PSG7	+			
PSG6	+			
PSG5	+			
PSG4	+			
PSG3	+			
PSG2	+			
PSG11	+			
PSG1	+			
PSD3	+			
PRY	+			
PRSS57	+			
PRSS50	+			
PRSS48	+			
PRSS47	+			
PRSS41	+			
PRSS3	+			
PRSS21	+			
PRRT3	+			
PRRG1	+			
PRRC2B	+			
PRR33	+			
PRR23C	+			
PRR23A	+			
PRR13	+			
PRR11	+			
PRPSAP1	+			
PRPF31	+			
PRODH	+			
PRO0255	+			
PRMT9	+			
PRMT8	+			+
PRM3	+			
PRKG2	+			+
PRKG1	+			
PRKDC	+			
PRKD2	+			
PRKCB	+			
PRKAR1A	+			
PRKAG2	+		+	
PRKACG	+			+
PRKACB	+			+
PRKACA	+			+
PRKAB2	+		+	
PRKAB1	+		+	+
PREX1	+			
PRELID2	+			
PREB	+			
PRDX5	+			
PRCP	+			
PPT1	+			
PPP4R2	+			
PPP3R2	+			+
PPP3R1	+			+
PPP2R5C	+			
PPP2R4	+			
PPP2R2D	+			
PPP2R2C	+			
PPP2R2B	+			
PPP1R8	+			
PPP1R3F	+			
PPP1R3E	+			
PPP1R11	+			
PPP1R10	+			
PPOX	+			
PPM1M	+			
PPM1J	+			
PPM1G	+			+
PPM1F	+			
PPM1B	+			+
PPM1A	+			+
PPIP5K2	+			
PPIL6	+			
PPIL2	+			
PPIG	+			
PPIC	+			
PPFIBP2	+			
PPFIA4	+			
PPFIA2	+			
PPARGC1B	+			
PPARG	+		+	
PPAPDC1B	+			
PPAP2C	+			
PPAN-P2RY11	+			
PPAN	+			
POU5F1	+			
POU3F2	+			
POU2F2	+			
POT1	+			
POR	+		+	
POP4	+			
PON3	+			
PON2	+			
POMT2	+			
POM121L2	+			
POM121L12	+			
POLR3B	+			
POLR1D	+			
POLR1B	+			
POLD4	+			
POLD2	+			
POLB	+			
POGZ	+			
POFUT1	+			
PODXL2	+			
PODNL1	+			
PNRC2	+			
PNRC1	+			
PNPLA6	+			
PNPLA5	+			
PNKP	+			
PMS2P2	+			
PMFBP1	+			
PMEL	+			
PLXNC1	+			
PLXNA2	+			
PLXDC1	+			
PLVAP	+			
PLSCR1	+			
PLP1	+		+	
PLOD3	+			
PLOD2	+			
PLGRKT	+			
PLEKHN1	+			+
PLEKHM1P	+			
PLEKHG6	+			
PLEKHG5	+			
PLEKHG3	+			
PLEKHA4	+			
PLEKHA2	+			
PLD6	+			
PLCXD1	+			
PLCH2	+			
PLBD2	+			
PLB1	+			
PLAUR	+			
PLA2G6	+			
PLA2G4C	+		+	
PLA2G3	+		+	
PLA2G15	+		+	
PLA2G10	+		+	
PKP2	+			
PKN2	+			
PKN1	+			
PKHD1L1	+			
PKD1L2	+			
PKD1	+			
PJA1	+			
PIWIL4	+			
PITPNM3	+			
PITPNB	+			
PITHD1	+			
PISD	+			
PIR	+			
PINLYP	+			
PILRB	+			
PILRA	+			
PIK3R4	+			+
PIK3C3	+			
PIK3C2G	+			
PIH1D2	+			
PIH1D1	+			
PIGN	+			
PIGM	+			
PIGH	+			
PIGF	+			
PICALM	+			
PI4KB	+			
PI4KA	+			
PHYKPL	+			
PHYHIP	+			
PHLPP2	+			
PHLDB3	+			
PHLDB1	+			
PHF12	+			
PHF10	+			
PHF1	+			
PHACTR4	+			
PHACTR2	+			+
PGRMC2	+			
PGM5	+			
PGM3	+			
PGLYRP3	+			
PGLYRP2	+			
PGLS	+			
PGD	+			
PGAP2	+			
PGAP1	+			
PFN3	+			
PFN1	+			
PFKP	+			
PFKFB3	+			
PF2	+			
PF1	+			
PDZRN4	+			
PDZRN3	+			
PDZD8	+			
PDZD4	+			
PDZD11	+			
PDXK	+			
PDXDC1	+			
PDPN	+		+	
